TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612747,Los Angeles Lakers,62,33,29,0.532,3001.0,2707.0,5449.0,0.497,706.0,1905.0,0.371,1142.0,1477.0,0.773,503.0,2124.0,2627.0,1771.0,843.0,476.0,348.0,303.0,998.0,1222.0,7262.0,-33.0,1,17,18,18,1,2,7,3,23,26,13,7,6,18,30,3,14,4,21,7,9,15,1,4,3,19
1610612763,Memphis Grizzlies,61,20,41,0.328,2943.0,2342.0,5349.0,0.438,818.0,2356.0,0.347,968.0,1274.0,0.76,608.0,1932.0,2540.0,1521.0,909.0,481.0,374.0,386.0,1183.0,1162.0,6470.0,-409.0,2,25,25,25,3,29,18,30,8,4,29,23,19,24,20,21,23,22,29,4,3,29,21,13,28,25
1610612748,Miami Heat,60,34,26,0.567,2885.0,2384.0,5129.0,0.465,742.0,1986.0,0.374,1128.0,1378.0,0.819,573.0,1948.0,2521.0,1557.0,780.0,445.0,202.0,297.0,1076.0,1164.0,6638.0,43.0,9,12,13,13,20,28,28,21,18,18,11,8,13,4,25,17,24,18,10,17,30,14,5,12,26,15
1610612749,Milwaukee Bucks,61,40,21,0.656,2943.0,2674.0,5425.0,0.493,873.0,2321.0,0.376,1190.0,1545.0,0.77,572.0,2131.0,2703.0,1625.0,777.0,426.0,315.0,248.0,1208.0,1214.0,7411.0,270.0,2,5,7,6,3,3,10,7,4,6,8,4,1,19,26,2,9,12,9,22,13,3,24,7,2,7
1610612750,Minnesota Timberwolves,60,42,18,0.7,2900.0,2478.0,5078.0,0.488,755.0,1930.0,0.391,1109.0,1415.0,0.784,552.0,2092.0,2644.0,1585.0,882.0,451.0,361.0,288.0,1161.0,1220.0,6820.0,423.0,9,2,2,2,11,23,29,8,14,24,2,9,10,12,28,4,12,16,23,13,6,10,17,5,18,3
1610612740,New Orleans Pelicans,61,36,25,0.59,2933.0,2618.0,5370.0,0.488,748.0,1972.0,0.379,1107.0,1449.0,0.764,667.0,2042.0,2709.0,1643.0,813.0,504.0,297.0,321.0,1161.0,1158.0,7091.0,277.0,2,8,8,8,5,7,17,9,17,20,6,10,7,22,11,7,6,10,17,2,17,20,17,14,9,6
1610612752,New York Knicks,60,35,25,0.583,2880.0,2474.0,5337.0,0.464,782.0,2132.0,0.367,1083.0,1382.0,0.784,772.0,1972.0,2744.0,1427.0,795.0,436.0,234.0,318.0,1073.0,1184.0,6813.0,218.0,9,9,8,9,22,24,19,23,13,13,15,13,12,13,2,14,5,29,13,20,29,19,4,10,19,9
1610612760,Oklahoma City Thunder,59,41,18,0.695,2852.0,2644.0,5269.0,0.502,794.0,2003.0,0.396,1071.0,1287.0,0.832,509.0,1948.0,2457.0,1595.0,743.0,478.0,398.0,310.0,1144.0,1131.0,7153.0,467.0,23,4,2,3,27,5,23,2,12,17,1,14,17,2,29,17,29,13,4,6,1,17,14,17,7,2
1610612753,Orlando Magic,60,34,26,0.567,2900.0,2442.0,5140.0,0.475,658.0,1861.0,0.354,1146.0,1523.0,0.752,657.0,1913.0,2570.0,1489.0,884.0,493.0,316.0,284.0,1254.0,1287.0,6688.0,76.0,9,12,13,13,11,26,27,15,30,29,25,6,4,28,13,25,20,25,24,3,12,7,27,1,25,14
1610612755,Philadelphia 76ers,60,35,25,0.583,2890.0,2532.0,5387.0,0.47,694.0,1931.0,0.359,1270.0,1526.0,0.832,665.0,1915.0,2580.0,1495.0,709.0,511.0,346.0,363.0,1249.0,1169.0,7028.0,202.0,9,9,8,9,17,16,14,19,27,23,20,1,3,1,12,24,18,24,1,1,10,27,26,11,11,10
1610612756,Phoenix Suns,60,35,25,0.583,2895.0,2544.0,5152.0,0.494,715.0,1901.0,0.376,1230.0,1527.0,0.806,603.0,2023.0,2626.0,1591.0,893.0,451.0,367.0,284.0,1108.0,1264.0,7033.0,171.0,9,9,8,9,15,15,26,4,22,28,9,2,2,8,21,11,15,15,26,13,5,7,9,3,10,11
1610612757,Portland Trail Blazers,59,17,42,0.288,2867.0,2320.0,5286.0,0.439,682.0,1958.0,0.348,1020.0,1286.0,0.793,725.0,1746.0,2471.0,1340.0,888.0,470.0,269.0,376.0,1210.0,1085.0,6342.0,-478.0,23,26,26,26,23,30,22,29,28,21,27,17,18,10,5,30,27,30,25,8,26,28,25,26,30,26
1610612758,Sacramento Kings,59,34,25,0.576,2862.0,2598.0,5372.0,0.484,862.0,2324.0,0.371,916.0,1260.0,0.727,615.0,1933.0,2548.0,1692.0,786.0,430.0,237.0,283.0,1179.0,1099.0,6974.0,19.0,23,12,8,12,24,10,16,11,5,5,12,29,24,30,18,20,22,9,11,21,28,6,20,23,14,17
1610612759,San Antonio Spurs,60,12,48,0.2,2890.0,2523.0,5470.0,0.461,754.0,2179.0,0.346,936.0,1199.0,0.781,616.0,1981.0,2597.0,1783.0,893.0,441.0,372.0,282.0,1063.0,1094.0,6736.0,-498.0,9,28,28,28,17,17,6,25,15,12,30,26,29,15,17,12,17,2,26,18,4,5,3,25,22,27
1610612761,Toronto Raptors,60,22,38,0.367,2900.0,2585.0,5419.0,0.477,704.0,1975.0,0.356,993.0,1328.0,0.748,679.0,1946.0,2625.0,1765.0,802.0,454.0,293.0,324.0,1105.0,1100.0,6867.0,-202.0,9,24,24,24,11,12,11,14,24,19,23,21,14,29,8,19,16,5,16,12,19,21,8,22,16,24
1610612762,Utah Jazz,61,27,34,0.443,2953.0,2592.0,5528.0,0.469,813.0,2264.0,0.359,1172.0,1421.0,0.825,772.0,2055.0,2827.0,1726.0,964.0,414.0,355.0,395.0,1174.0,1211.0,7169.0,-180.0,2,20,20,20,2,11,3,20,9,7,21,5,9,3,2,6,1,6,30,24,7,30,19,8,6,23
1610612764,Washington Wizards,60,9,51,0.15,2885.0,2603.0,5521.0,0.471,735.0,2097.0,0.351,936.0,1226.0,0.763,562.0,1886.0,2448.0,1697.0,835.0,465.0,313.0,350.0,1192.0,1085.0,6877.0,-600.0,9,29,30,30,20,9,4,18,19,15,26,26,28,23,27,27,30,8,20,9,14,24,23,26,15,29
